Corpus d'apprentissage,Corpus de test,Pr�cision train �poque 1,Pr�cision train �poque 2,Pr�cision train �poque 3,Pr�cision train �poque 4,Pr�cision train �poque 5, Pr�cision train �poque 6, Pr�cision train �poque 7, Pr�cision train �poque 8, Pr�cision train �poque 9, Pr�cision train �poque 10,Pr�cision globale,Pr�cision OOV,Pr�cision sur les mots ambigus,Pourcentage OOV,KL divergence,Perplexit�
ftb,ftb_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.940328417,0.7088364435,0.9170325694,10.524569617,-0.0224975985,10.9104649037
ftb,ftb_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9252037718,0.6487708392,0.8935083363,9.3781103697,-0.0221562126,10.8289933648
ftb,ftb_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9174950207,0.629093199,0.8930065398,16.8761750286,-0.022540223,12.3362629174
ftb,ftb_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9054211186,0.593724988,0.8741739769,15.7555203303,-0.0222689083,12.2858205061
ftb,ftb_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9242166985,0.6576698156,0.8944978397,11.7336970546,-0.0223475088,11.3405712591
ftb,gsd_natdis_partut,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8410353483,0.3562653563,0.8697107784,5.4152689203,-4.2843e-05,6.8027433483
ftb,gsd_natdis_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8336164097,0.4314218645,0.8313717733,11.7558152394,-0.0084682192,9.699720586
ftb,gsd_natdis_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8573558333,0.4294979582,0.8782533256,7.7634828768,-0.004149917,7.9511397472
ftb,gsd_natdis_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.816391999,0.3698866437,0.8126406218,6.6170236296,-0.0025244181,7.8808767964
ftb,gsd_partut_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8556395109,0.5442212366,0.8279483536,9.9310649906,-0.012095809,16.2970750174
ftb,gsd_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9040778288,0.6402559055,0.8919056854,5.8908098942,-0.00959298,13.8992195779
ftb,gsd_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8450172902,0.5262065387,0.8003197893,4.7517233752,-0.0079221759,12.6385920305
ftb,gsd_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8650160477,0.5725738397,0.8407557355,12.2682198548,-0.013385872,16.6689339525
ftb,gsd_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8352927774,0.5236245955,0.7944380877,11.1291333358,-0.0122680076,16.0767690121
ftb,gsd_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8614878611,0.579393084,0.824520458,7.1220555166,-0.0098803881,13.9042192981
ftb,natdis_partut_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8243274672,0.4078819647,0.823137209,9.2601467173,-0.0066714688,8.4315513476
ftb,natdis_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8496234413,0.3928358209,0.8787822189,5.1535370664,-0.0007943974,6.4035634754
ftb,natdis_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7966950222,0.3171032357,0.7953738196,3.9886459985,0.0011889457,6.4979040542
ftb,natdis_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8381603589,0.4504787058,0.8361005105,11.5825561249,-0.008900761,9.2218161633
ftb,natdis_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8100753377,0.4102133378,0.7919760137,10.4471559701,-0.0077219293,9.226144943
ftb,natdis_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8229540165,0.3990847784,0.8191081931,6.3552917757,-0.0031432704,7.5228091723
ftb,partut_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8613744401,0.5709192768,0.8338495849,9.7909831533,-0.0125243541,14.6388171411
ftb,partut_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8258189455,0.5115122972,0.7793485304,8.6518966343,-0.0113305675,14.214498497
ftb,partut_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8543902987,0.5789213261,0.8091999622,4.5157960703,-0.0084913393,11.1410788858
ftb,pud_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8400473934,0.5462042715,0.799112485,10.9964242268,-0.0126800002,14.8630174446
